CARTS_NET	CHERVIS12_NET	EDUCAT3	NSSEC_3	FINHARD	WELLB1	CINTOFT	CSMARTD_Count	WELLB4	TENHARM	LONELY	ETHNIC_NET	emdidc19	CULTSATIS	SEX	AGEBAND
1	1	2	1	2	7	2	4	3	1	2	1	5	-3	2	5
1	1	1	1	2	8	2	3	3	1	3	1	5	-3	1	5
1	1	1	1	1	8	2	1	2	1	4	1	10	-3	2	12
1	1	-3	4	4	3	1	2	10	2	1	1	1	-3	1	1
2	1	2	3	4	0	1	2	10	2	1	1	1	-3	1	4
1	1	2	3	5	0	1	0	10	2	5	1	1	3	2	10
1	1	1	1	3	5	2	1	3	2	4	1	1	2	1	9
3	1	-3	3	3	10	-3	-3	6	2	5	1	2	-3	2	11
3	1	-3	-3	3	10	-3	-3	6	2	5	1	2	-3	1	10
1	1	1	2	2	8	2	2	1	1	5	1	7	2	1	6
1	1	2	2	2	8	2	2	1	1	4	1	7	2	2	6
1	1	2	3	4	1	2	2	10	2	4	1	1	-3	2	12
1	1	-3	3	4	2	2	2	8	2	4	1	1	-3	1	12
1	1	1	1	2	6	1	1	6	1	2	4	4	-3	2	6
2	2	-3	-3	997	5	1	1	997	1	5	997	8	-3	2	10
2	2	-3	-3	997	4	2	1	997	1	997	997	8	-3	1	9
2	1	-3	-3	997	997	5	1	997	3	997	997	8	-3	1	1
1	1	2	3	4	2	2	3	9	1	1	1	4	3	2	9
1	2	997	1	997	5	1	1	5	1	3	1	2	-3	1	10
1	2	-3	3	3	8	2	1	1	1	4	1	7	-3	2	10
1	2	-3	3	3	8	2	1	4	1	3	1	7	-3	1	9
1	1	2	1	4	6	1	1	3	2	2	1	2	-3	1	9
1	2	-3	3	3	7	2	1	1	2	2	3	2	-3	2	4
1	1	2	-3	4	7	1	1	7	1	4	1	9	-3	1	1
1	2	2	-3	1	9	2	1	1	1	4	2	9	-3	2	2
1	1	2	-3	3	7	1	3	6	1	3	1	9	-3	1	1
2	2	-3	-3	4	5	1	2	8	1	3	997	4	2	2	4
2	2	1	-3	3	6	2	2	5	1	3	997	4	2	997	3
1	2	2	-3	3	7	2	1	6	1	4	997	4	2	997	3
2	2	2	2	3	3	1	1	7	3	1	1	2	999	2	5
1	1	1	1	2	8	1	2	6	3	2	1	1	-3	1	3
1	2	1	1	1	10	1	1	10	3	4	1	1	-3	2	3
1	1	1	1	3	8	1	2	6	3	2	1	8	-3	2	4
