AGEBAND,SEX,QWORK,EDUCAT3,FINHARD,CINTOFT,gor,rur11cat,CHILDHH,COHAB,under_engaged
80-84,Male,Working part-time,Degree or above,Living comfortably,Many times a day,West Midlands,Urban,0,Unknown,0
45-49,Female,Working part-time,Other qualification,Doing alright,Almost all the time,South East,Rural,0,Unknown,0
75-79,Female,Retired,Unknown,Living comfortably,Many times a day,South East,Urban,0,Unknown,0
80-84,Male,Retired,Unknown,Living comfortably,Several times a week,South East,Urban,0,Unknown,0
50-54,Female,Other,Degree or above,Living comfortably,Almost all the time,North West,Rural,0,Unknown,0
55-59,Male,Sick/disabled,Degree or above,Living comfortably,Many times a day,North West,Rural,0,Unknown,0
25-29,Unknown,Unknown,Unknown,Unknown,Almost all the time,West Midlands,Urban,1,Unknown,0
35-39,Male,Working full-time,Unknown,Doing alright,Almost all the time,West Midlands,Urban,1,Unknown,1
60-64,Female,Working part-time,Unknown,Living comfortably,About once a day,West Midlands,Urban,1,Unknown,1
70-74,Male,Retired,Unknown,Living comfortably,Many times a day,West Midlands,Urban,1,Unknown,1
85+,Male,Retired,Unknown,Just getting by,Many times a day,North East,Urban,0,Unknown,0
80-84,Male,Retired,Other qualification,Living comfortably,Many times a day,North West,Urban,1,Unknown,0
75-79,Female,Retired,Unknown,Living comfortably,Less often,North West,Urban,1,Unknown,0
85+,Female,Retired,Unknown,Doing alright,Almost all the time,East of England,Urban,0,Unknown,0
65-69,Male,Working full-time,Other qualification,Doing alright,About once a day,West Midlands,Urban,0,Unknown,0
45-49,Female,Working full-time,Degree or above,Living comfortably,Many times a day,West Midlands,Urban,1,Unknown,0
50-54,Male,Working full-time,Degree or above,Just getting by,Many times a day,West Midlands,Urban,1,Unknown,0
35-39,Female,Unknown,Unknown,Living comfortably,Almost all the time,West Midlands,Urban,0,Unknown,0
30-34,Female,Working full-time,Other qualification,Doing alright,Many times a day,West Midlands,Urban,0,Yes,0
40-44,Male,Working full-time,Unknown,Doing alright,Almost all the time,West Midlands,Urban,0,Yes,0
60-64,Male,Working full-time,Other qualification,Doing alright,Almost all the time,North East,Urban,0,Unknown,0
35-39,Male,Unknown,Unknown,Just getting by,Less often,London,Urban,0,Unknown,0
35-39,Female,Working full-time,Degree or above,Finding very difficult,Many times a day,South West,Urban,4+,Unknown,0
16-19,Male,Unemployed,Unknown,Just getting by,Almost all the time,South East,Urban,2,No,0
40-44,Female,Working full-time,Other qualification,Doing alright,Almost all the time,South East,Urban,2,Yes,0
45-49,Male,Sick/disabled,Other qualification,Doing alright,Almost all the time,South East,Urban,2,Yes,0
70-74,Male,Retired,Degree or above,Living comfortably,Many times a day,London,Urban,0,Unknown,0
70-74,Female,Retired,Other qualification,Living comfortably,Many times a day,London,Urban,0,Unknown,0
20-24,Female,Working part-time,Other qualification,Finding very difficult,Almost all the time,East Midlands,Urban,0,No,0
16-19,Male,Sick/disabled,Unknown,Finding very difficult,Almost all the time,East Midlands,Urban,0,No,1
40-44,Female,Working part-time,Degree or above,Just getting by,Many times a day,East of England,Urban,2,Unknown,0
25-29,Female,Unemployed,Other qualification,Finding very difficult,Almost all the time,Yorkshire and The Humber,Urban,0,Unknown,0
80-84,Female,Retired,Unknown,Doing alright,Unknown,South West,Urban,0,Unknown,0
55-59,Female,Working full-time,Degree or above,Just getting by,Almost all the time,Yorkshire and The Humber,Urban,0,Unknown,0
60-64,Male,Sick/disabled,Other qualification,Doing alright,About once a day,East of England,Rural,0,Unknown,0
40-44,Female,Working full-time,Degree or above,Finding very difficult,Several times a week,East of England,Urban,2,Unknown,0
50-54,Male,Working full-time,Other qualification,Finding quite difficult,Almost all the time,East of England,Urban,2,Unknown,0
40-44,Female,Working full-time,Degree or above,Just getting by,Many times a day,West Midlands,Rural,3,Unknown,0
